        Theta / Degree                Directivity, constant Phi=0/
----------------------------------------------------------------------
                    -180                      -11.484013
                    -175                       -11.31394
                    -170                      -10.897419
                    -165                      -10.430748
                    -160                      -10.085066
                    -155                      -9.9590822
                    -150                      -10.084121
                    -145                      -10.427311
                    -140                      -10.868599
                    -135                      -11.167443
                    -130                       -11.01338
                    -125                      -10.250073
                    -120                      -9.0240995
                    -115                      -7.6054396
                    -110                      -6.1835685
                    -105                      -4.8402015
                    -100                      -3.5940678
                     -95                      -2.4374391
                     -90                      -1.3552225
                     -85                     -0.33351028
                     -80                      0.63686035
                     -75                       1.5593303
                     -70                       2.4316208
                     -65                       3.2463507
                     -60                       3.9920266
                     -55                       4.6535608
                     -50                       5.2138928
                     -45                       5.6546796
                     -40                       5.9576399
                     -35                       6.1062276
                     -30                       6.0882311
                     -25                       5.9002442
                     -20                       5.5551713
                     -15                       5.0949253
                     -10                       4.6046161
                      -5                       4.2151776
                       0                       4.0646073
                       5                       4.2151768
                      10                        4.604615
                      15                       5.0949244
                      20                       5.5551708
                      25                       5.9002443
                      30                       6.0882318
                      35                       6.1062288
                      40                       5.9576413
                      45                       5.6546813
                      50                       5.2138945
                      55                       4.6535625
                      60                       3.9920282
                      65                       3.2463522
                      70                       2.4316222
                      75                       1.5593316
                      80                      0.63686149
                      85                     -0.33350931
                      90                      -1.3552218
                      95                      -2.4374387
                     100                       -3.594068
                     105                      -4.8402024
                     110                      -6.1835705
                     115                      -7.6054433
                     120                      -9.0241055
                     125                      -10.250082
                     130                      -11.013391
                     135                      -11.167453
                     140                      -10.868607
                     145                      -10.427317
                     150                      -10.084125
                     155                      -9.9590853
                     160                      -10.085068
                     165                       -10.43075
                     170                       -10.89742
                     175                       -11.31394
                     180                      -11.484013

