        Frequency / GHz                Rad. Efficiency [1]/abs,dB
----------------------------------------------------------------------
                      33                     0.054262062
               33.067114                     -0.59033511
                33.10101                      -0.8854512
               33.134228                       -1.143978
               33.201342                      -1.5569326
                33.20202                      -1.5602177
               33.268456                      -1.8052385
                33.30303                       -1.864773
                33.33557                      -1.8777308
               33.402685                       -1.775894
                33.40404                      -1.7721042
               33.469799                      -1.5211584
               33.505051                       -1.342357
               33.536913                      -1.1655244
               33.604027                     -0.79063508
               33.606061                     -0.77995867
               33.671141                     -0.48756127
               33.707071                     -0.38041406
               33.738255                     -0.32363782
               33.805369                     -0.31463261
               33.808081                     -0.31701941
               33.872483                       -0.429287
               33.909091                     -0.52533774
               33.939597                     -0.61520726
               34.006711                     -0.82079157
               34.010101                     -0.83088431
               34.073826                      -1.0052404
               34.111111                      -1.0878156
                34.14094                      -1.1404433
               34.208054                      -1.2085906
               34.212121                      -1.2103452
               34.275168                      -1.2021369
               34.313131                      -1.1662532
               34.342282                      -1.1244811
               34.409396                     -0.99091907
               34.414141                     -0.98011256
                34.47651                     -0.82735347
               34.515152                     -0.73113307
               34.543624                     -0.66330051
               34.610738                     -0.52422655
               34.616162                     -0.51483469
               34.677852                     -0.42538464
               34.717172                     -0.38741295
               34.744966                     -0.36889373
               34.812081                     -0.34807412
               34.818182                     -0.34759505
               34.879195                     -0.35224165
               34.919192                      -0.3619136
               34.946309                     -0.37009198
               35.013423                     -0.39210399
               35.020202                     -0.39436507
               35.080537                     -0.41132856
               35.121212                     -0.41936512
               35.147651                     -0.42267972
               35.214765                     -0.42353947
               35.222222                     -0.42299143
               35.281879                     -0.41274144
               35.323232                     -0.40004131
               35.348993                     -0.39007815
               35.416107                     -0.35651985
               35.424242                     -0.35182817
               35.483221                     -0.31456824
               35.525253                     -0.28536483
               35.550336                     -0.26747499
                35.61745                     -0.21956816
               35.626263                     -0.21351592
               35.684564                     -0.17667533
               35.727273                     -0.15486334
               35.751678                     -0.14510381
               35.818792                      -0.1312905
               35.828283                     -0.13111845
               35.885906                     -0.14055227
               35.929293                     -0.15991851
                35.95302                     -0.17517406
               36.020134                     -0.23362626
               36.030303                     -0.24429299
               36.087248                     -0.31046944
               36.131313                     -0.36633262
               36.154362                     -0.39621795
               36.221477                     -0.48068462
               36.232323                     -0.49361107
               36.288591                     -0.55513594
               36.333333                     -0.59623129
               36.355705                     -0.61386824
               36.422819                     -0.65511635
               36.434343                     -0.66053863
               36.489933                     -0.68079572
               36.535354                     -0.69157003
               36.557047                     -0.69542728
               36.624161                     -0.70480812
               36.636364                     -0.70641725
               36.691275                     -0.71477235
               36.737374                     -0.72452379
               36.758389                     -0.73010499
               36.825503                     -0.75363404
               36.838384                     -0.75914147
               36.892617                     -0.78582434
               36.939394                     -0.81256762
               36.959732                     -0.82501664
               37.026846                     -0.86800538
               37.040404                      -0.8767607
                37.09396                     -0.91068326
               37.141414                     -0.93855874
               37.161074                     -0.94922762
               37.228188                     -0.98070162
               37.242424                     -0.98628288
               37.295302                      -1.0034298
               37.343434                      -1.0141394
               37.362416                      -1.0171335
                37.42953                      -1.0226942
               37.444444                      -1.0229691
               37.496644                       -1.021787
               37.545455                      -1.0182801
               37.563758                      -1.0165429
               37.630872                      -1.0090535
               37.646465                      -1.0071845
               37.697987                      -1.0010729
               37.747475                     -0.99561641
