        Frequency / GHz                Front-to-back ratio over frequency/real
----------------------------------------------------------------------
                      33                       10.235771
               33.067114                       10.101715
                33.10101                        10.03152
               33.134228                       9.9630229
               33.201342                       9.8395937
                33.20202                       9.8385587
               33.268456                       9.7581879
                33.30303                       9.7337592
                33.33557                       9.7177987
               33.402685                       9.6809572
                33.40404                       9.6798673
               33.469799                       9.5933701
               33.505051                       9.5138796
               33.536913                       9.4157744
               33.604027                       9.1144343
               33.606061                       9.1051611
               33.671141                        8.592818
               33.707071                       8.0327759
               33.738255                       7.8126561
               33.805369                       8.4131557
               33.808081                       8.4186294
               33.872483                       8.5426458
               33.909091                       8.6064839
               33.939597                         8.65532
               34.006711                         8.74812
               34.010101                        8.752278
               34.073826                       8.8216457
               34.111111                       8.8553249
                34.14094                       8.8793335
               34.208054                       8.9270822
               34.212121                        8.929823
               34.275168                       8.9727444
               34.313131                       9.0009174
               34.342282                       9.0248681
               34.409396                       9.0905325
               34.414141                       9.0958034
                34.47651                       9.1731014
               34.515152                        9.227994
               34.543624                       9.2713287
               34.610738                       9.3804578
               34.616162                       9.3895683
               34.677852                       9.4944474
               34.717172                       9.5612701
               34.744966                       9.6079172
               34.812081                       9.7170819
               34.818182                       9.7267069
               34.879195                       9.8198057
               34.919192                       9.8775668
               34.946309                       9.9152219
               35.013423                       10.003259
               35.020202                       10.011752
               35.080537                       10.084255
               35.121212                        10.13011
               35.147651                       10.158666
               35.214765                       10.226878
               35.222222                       10.234084
               35.281879                       10.289064
               35.323232                       10.324334
               35.348993                       10.345076
               35.416107                       10.394333
               35.424242                       10.399797
               35.483221                       10.435711
               35.525253                        10.45685
               35.550336                       10.467431
                35.61745                       10.486965
               35.626263                        10.48846
               35.684564                       10.491014
               35.727273                       10.483741
               35.751678                       10.475636
               35.818792                       10.436634
               35.828283                       10.428985
               35.885906                       10.370282
               35.929293                        10.31167
                35.95302                       10.274305
               36.020134                       10.148916
               36.030303                       10.127512
               36.087248                       9.9973379
               36.131313                       9.8863425
               36.154362                       9.8254736
               36.221477                       9.6405621
               36.232323                       9.6099327
               36.288591                        9.449362
               36.333333                       9.3208436
               36.355705                       9.2565931
               36.422819                        9.064241
               36.434343                       9.0312476
               36.489933                       8.8718277
               36.535354                       8.7405913
               36.557047                       8.6773628
               36.624161                       8.4785909
               36.636364                       8.4418607
               36.691275                       8.2742292
               36.737374                       8.1309162
               36.758389                       8.0650608
               36.825503                       7.8547753
               36.838384                       7.8148194
               36.892617                       7.6503866
               36.939394                        7.516689
               36.959732                       7.4619837
               37.026846                       7.3015782
               37.040404                       7.2736671
                37.09396                       7.1811828
               37.141414                       7.1258151
               37.161074                       7.1109073
               37.228188                       7.0983041
               37.242424                       7.1036453
               37.295302                       7.1499098
               37.343434                        7.231358
               37.362416                       7.2749587
                37.42953                       7.4903021
               37.444444                       7.5530528
               37.496644                        7.824728
               37.545455                       8.1654363
               37.563758                       8.3180856
               37.630872                       8.9996225
               37.646465                       9.1810184
               37.697987                       9.7870031
               37.747475                       10.213134
               37.765101                       10.277018
               37.832215                        9.985758
               37.848485                       9.8161669
               37.899329                       9.1963155
               37.949495                       8.5903124
               37.966443                       8.4026572
                      38                       8.0622799
               38.033557                       7.7630289
               38.050505                       7.6265504
               38.100671                       7.2734369
               38.151515                       6.9805251
               38.167785                       6.8981388
               38.234899                       6.6044479
               38.252525                       6.5376503
               38.302013                        6.368362
               38.353535                       6.2158589
               38.369128                       6.1737187
               38.436242                       6.0103253
               38.454545                       5.9703235
               38.503356                       5.8721896
               38.555556                       5.7800442
                38.57047                         5.75602
               38.637584                       5.6600231
               38.656566                       5.6363652
               38.704698                       5.5830213
               38.757576                       5.5338154
               38.771812                       5.5239223
               38.838926                       5.4812594
               38.858586                       5.4716431
                38.90604                       5.4533621
               38.959596                        5.440365
               38.973154                       5.4382358
               39.040268                       5.4337331
               39.060606                       5.4341379
               39.107383                       5.4377088
               39.161616                        5.445755
               39.174497                       5.4481864
               39.241611                       5.4611003
               39.262626                       5.4690417
               39.308725                       5.4823893
               39.363636                       5.5000394
               39.375839                       5.5042037
               39.442953                       5.5286721
               39.464646                        5.537172
               39.510067                       5.5559963
               39.565657                       5.5887022
               39.577181                       5.6025119
               39.644295                       5.6433173
               39.666667                       5.6641822
               39.711409                        5.691004
               39.767677                       5.6970569
               39.778523                       5.7046001
               39.845638                       5.7543658
               39.868687                       5.7726736
               39.912752                       5.8093447
               39.969697                       5.8597983
               39.979866                        5.869147
                40.04698                       5.9661693
               40.070707                       5.9893012
               40.114094                       6.0314064
               40.171717                       6.0844082
               40.181208                         6.09468
               40.248322                       6.1600973
               40.272727                       6.1790229
               40.315436                       6.2263387
               40.373737                        6.284494
                40.38255                        6.294638
               40.449664                       6.3733196
               40.474747                       6.4034733
               40.516779                       6.4550976
               40.575758                       6.5302621
               40.583893                       6.5409116
               40.651007                       6.6317627
               40.676768                        6.668176
               40.718121                       6.7285907
               40.777778                       6.8202953
               40.785235                       6.8321527
               40.852349                       6.9429661
               40.878788                       6.9886763
               40.919463                       7.0612993
               40.979798                       7.1741712
               40.986577                       7.1872374
               41.053691                        7.320794
               41.080808                       7.3769365
               41.120805                       7.4620904
               41.181818                       7.5976148
               41.187919                       7.6115618
               41.255034                       7.7701743
               41.282828                       7.8389098
               41.322148                        7.939623
               41.383838                       8.1071331
               41.389262                       8.1224863
               41.456376                       8.3223463
               41.484848                       8.4133783
                41.52349                       8.5439169
               41.585859                       8.7745213
               41.590604                       8.7932096
               41.657718                       9.0778534
               41.686869                       9.2148728
               41.724832                       9.4076201
               41.787879                       9.7698629
               41.791946                       9.7952958
                41.85906                        10.25804
               41.888889                       10.493653
               41.926174                       10.819331
               41.989899                       11.472403
               41.993289                       11.511064
               42.060403                        12.37187
               42.090909                       12.826667
               42.127517                        13.41824
               42.191919                       14.442204
               42.194631                       14.478004
               42.261745                       14.800014
               42.292929                       14.496629
               42.328859                       13.908879
               42.393939                       12.707919
               42.395973                       12.672618
               42.463087                       11.664367
               42.494949                       11.300162
               42.530201                       10.981787
                42.59596                       10.595184
               42.597315                       10.589686
                42.66443                       10.416823
                42.69697                       10.390263
               42.731544                        10.39219
                42.79798                       10.458381
               42.798658                       10.459374
               42.865772                       10.578383
                42.89899                       10.647765
               42.932886                       10.722286
                      43                        10.87389

