        Frequency / GHz                Max Gain over Frequency/real
----------------------------------------------------------------------
                      33                       6.3009232
               33.067114                       5.6133191
                33.10101                       5.3051771
               33.134228                       5.0371152
               33.201342                       4.6110882
                33.20202                       4.6076933
               33.268456                       4.3514014
                33.30303                        4.283948
                33.33557                       4.2609611
               33.402685                       4.3309586
                33.40404                       4.3339253
               33.469799                       4.5356789
               33.505051                       4.6809122
               33.536913                       4.8237064
               33.604027                       5.1361227
               33.606061                       5.1457657
               33.671141                       5.4135167
               33.707071                       5.5395271
               33.738255                       5.6447427
               33.805369                       5.9826925
               33.808081                       5.9937469
               33.872483                       6.1884984
               33.909091                       6.2535873
               33.939597                       6.2893267
               34.006711                       6.3311453
               34.010101                       6.3325033
               34.073826                       6.3559775
               34.111111                       6.3752275
                34.14094                       6.3978825
               34.208054                       6.4842754
               34.212121                       6.4914232
               34.275168                       6.6349784
               34.313131                       6.7528786
               34.342282                       6.8595793
               34.409396                       7.1532772
               34.414141                       7.1760744
                34.47651                       7.4949845
               34.515152                       7.7014115
               34.543624                       7.8532056
               34.610738                       8.1955335
               34.616162                       8.2214849
               34.677852                       8.4981808
               34.717172                       8.6527828
               34.744966                       8.7517135
               34.812081                       8.9579357
               34.818182                       8.9745899
               34.879195                       9.1250273
               34.919192                       9.2103219
               34.946309                       9.2635107
               35.013423                       9.3831348
               35.020202                       9.3943882
               35.080537                       9.4915418
               35.121212                       9.5543816
               35.147651                        9.594615
               35.214765                       9.6956661
               35.222222                       9.7067881
               35.281879                       9.7963294
               35.323232                        9.858495
               35.348993                       9.8969931
               35.416107                       9.9965447
               35.424242                         10.0084
               35.483221                          10.092
               35.525253                       10.147997
               35.550336                       10.179284
                35.61745                       10.252927
               35.626263                       10.261214
               35.684564                       10.305714
               35.727273                       10.324887
               35.751678                        10.32984
               35.818792                       10.317482
               35.828283                       10.312378
               35.885906                       10.262373
               35.929293                       10.202785
                35.95302                        10.16208
               36.020134                       10.019086
               36.030303                       9.9940833
               36.087248                       9.8409663
               36.131313                       9.7109429
               36.154362                       9.6402233
               36.221477                        9.430266
               36.232323                       9.3962638
               36.288591                       9.2254548
               36.333333                       9.0972348
               36.355705                       9.0349148
               36.422819                       8.8546576
               36.434343                        8.824531
               36.489933                       8.6810999
               36.535354                       8.5640869
               36.557047                       8.5074928
               36.624161                       8.3259823
               36.636364                         8.29155
               36.691275                       8.1295277
               36.737374                       7.9833703
               36.758389                       7.9134827
               36.825503                       7.6767369
               36.838384                       7.6291251
               36.892617                       7.4220315
               36.939394                       7.2369352
               36.959732                       7.1552615
               37.026846                       6.8940192
               37.040404                       6.8446803
                37.09396                       6.6528088
               37.141414                       6.4885077
               37.161074                       6.4223159
               37.228188                       6.2052342
               37.242424                       6.1609328
               37.295302                        6.004212
               37.343434                        5.889145
               37.362416                       5.8449451
                37.42953                       5.6922864
               37.444444                       5.6588745
               37.496644                       5.5424053
               37.545455                       5.4538553
               37.563758                       5.4251006
               37.630872                       5.3206207
               37.646465                       5.2966251
               37.697987                       5.2276583
               37.747475                       5.1946212
               37.765101                        5.183824
               37.832215                       5.1481047
               37.848485                       5.1420968
               37.899329                       5.1609001
               37.949495                       5.1840711
               37.966443                       5.1928981
                      38                       5.2117511
               38.033557                       5.2323592
               38.050505                       5.2433617
               38.100671                       5.2910572
               38.151515                       5.3523383
               38.167785                        5.372148
               38.234899                       5.4546341
               38.252525                       5.4764701
               38.302013                        5.538174
               38.353535                       5.6030856
               38.369128                       5.6228664
               38.436242                       5.7091746
               38.454545                       5.7330678
               38.503356                       5.7976991
               38.555556                       5.8685577
                38.57047                       5.8891426
               38.637584                       5.9891181
               38.656566                        6.020648
               38.704698                       6.1014549
               38.757576                       6.1914996
               38.771812                       6.2159333
               38.838926                       6.3317471
               38.858586                       6.3658969
                38.90604                       6.4484142
               38.959596                       6.5412705
               38.973154                        6.564721
               39.040268                       6.6797526
               39.060606                       6.7142612
               39.107383                       6.7928681
               39.161616                       6.8825098
               39.174497                       6.9035795
               39.241611                       7.0118243
               39.262626                       7.0452703
               39.308725                       7.1179505
               39.363636                       7.2036387
               39.375839                       7.2225838
               39.442953                        7.326497
               39.464646                       7.3600879
               39.510067                       7.4305616
               39.565657                        7.517481
               39.577181                       7.5356003
               39.644295                       7.6420294
               39.666667                       7.6778437
               39.711409                       7.7499435
               39.767677                       7.8413364
               39.778523                       7.8590081
               39.845638                        7.968406
               39.868687                       8.0058461
               39.912752                       8.0769759
               39.969697                       8.1674396
               39.979866                       8.1833646
                40.04698                        8.286219
               40.070707                        8.321508
               40.114094                       8.3843708
               40.171717                       8.4642877
               40.181208                       8.4770441
               40.248322                       8.5639333
               40.272727                       8.5941206
               40.315436                       8.6452507
               40.373737                       8.7118683
                40.38255                        8.721654
               40.449664                       8.7940414
               40.474747                       8.8202315
               40.516779                       8.8632899
               40.575758                       8.9221208
               40.583893                       8.9301005
               40.651007                       8.9946535
               40.676768                        9.018733
               40.718121                       9.0585159
               40.777778                       9.1199027
               40.785235                       9.1273689
               40.852349                       9.1919318
               40.878788                       9.2157063
               40.919463                       9.2499462
               40.979798                       9.2944797
