        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                      33                     -0.48479242
               33.009998                     -0.50029977
                   33.02                      -0.5161106
               33.029999                     -0.53216572
               33.040001                     -0.54840295
               33.049999                     -0.56476119
               33.060001                      -0.5811788
                   33.07                     -0.59759387
               33.080002                     -0.61394366
                   33.09                     -0.63016703
               33.099998                     -0.64620471
               33.110001                     -0.66199706
               33.119999                     -0.67748498
               33.130001                     -0.69261361
               33.139999                     -0.70732916
               33.150002                     -0.72157944
                   33.16                     -0.73531546
               33.169998                     -0.74849105
                   33.18                     -0.76106512
               33.189999                     -0.77299502
               33.200001                     -0.78424809
               33.209999                     -0.79479054
               33.220001                     -0.80459517
                   33.23                     -0.81363985
               33.240002                     -0.82190335
                   33.25                     -0.82937165
               33.259998                     -0.83603558
                   33.27                     -0.84188916
               33.279999                     -0.84693051
               33.290001                       -0.851164
               33.299999                     -0.85459863
               33.310001                     -0.85724588
                   33.32                     -0.85912306
               33.330002                     -0.86025113
                   33.34                     -0.86065595
               33.349998                     -0.86036661
               33.360001                      -0.8594152
               33.369999                     -0.85783896
               33.380001                     -0.85567608
               33.389999                     -0.85296901
               33.400002                     -0.84976312
                   33.41                      -0.8461047
               33.419998                      -0.8420439
                   33.43                     -0.83763198
               33.439999                     -0.83292022
               33.450001                     -0.82796334
               33.459999                     -0.82281536
               33.470001                     -0.81753074
                   33.48                     -0.81216577
               33.490002                     -0.80677556
                    33.5                     -0.80141551
               33.509998                     -0.79614035
                   33.52                     -0.79100373
               33.529999                     -0.78605899
               33.540001                      -0.7813578
               33.549999                     -0.77695114
               33.560001                     -0.77288751
                   33.57                     -0.76921547
               33.580002                      -0.7659796
                   33.59                     -0.76322248
               33.599998                     -0.76098661
               33.610001                     -0.75931129
               33.619999                     -0.75823189
               33.630001                     -0.75778465
               33.639999                     -0.75799929
               33.650002                     -0.75890611
                   33.66                     -0.76053153
               33.669998                     -0.76289933
                   33.68                     -0.76602938
               33.689999                     -0.76994084
               33.700001                     -0.77464944
               33.709999                     -0.78016756
               33.720001                     -0.78650405
                   33.73                     -0.79366688
               33.740002                     -0.80165856
                   33.75                      -0.8104821
               33.759998                     -0.82013445
                   33.77                     -0.83061217
               33.779999                     -0.84190802
               33.790001                       -0.854012
               33.799999                     -0.86691143
               33.810001                     -0.88059213
                   33.82                     -0.89503558
               33.830002                     -0.91022184
                   33.84                     -0.92612959
               33.849998                     -0.94273377
               33.860001                     -0.96000646
               33.869999                     -0.97791913
               33.880001                     -0.99644112
               33.889999                      -1.0155397
               33.900002                      -1.0351795
                   33.91                      -1.0553253
               33.919998                      -1.0759388
                   33.93                       -1.096981
               33.939999                      -1.1184122
               33.950001                      -1.1401906
               33.959999                      -1.1622756
               33.970001                      -1.1846244
                   33.98                      -1.2071937
               33.990002                       -1.229941
                      34                      -1.2528247
               34.009998                      -1.2758006
                   34.02                       -1.298827
               34.029999                      -1.3218633
               34.040001                      -1.3448692
               34.049999                      -1.3678054
               34.060001                      -1.3906349
                   34.07                       -1.413322
               34.080002                      -1.4358328
                   34.09                      -1.4581368
               34.099998                      -1.4802036
               34.110001                      -1.5020078
               34.119999                      -1.5235246
               34.130001                      -1.5447355
               34.139999                      -1.5656222
               34.150002                      -1.5861725
                   34.16                      -1.6063746
               34.169998                      -1.6262241
                   34.18                       -1.645716
               34.189999                      -1.6648555
               34.200001                      -1.6836458
               34.209999                       -1.702097
               34.220001                      -1.7202245
                   34.23                      -1.7380442
               34.240002                      -1.7555798
                   34.25                      -1.7728579
               34.259998                      -1.7899089
                   34.27                      -1.8067676
               34.279999                      -1.8234716
               34.290001                      -1.8400643
               34.299999                      -1.8565915
               34.310001                      -1.8731025
                   34.32                      -1.8896511
               34.330002                      -1.9062938
                   34.34                      -1.9230883
               34.349998                      -1.9401001
