Frequency	VSWR
33	35.84274
33.009998	34.73234
33.02	33.668927
33.029999	32.653762
33.040001	31.687557
33.049999	30.770349
33.060001	29.901745
33.07	29.081007
33.080002	28.307176
33.09	27.579035
33.099998	26.895179
33.110001	26.254176
33.119999	25.65457
33.130001	25.094776
33.139999	24.573253
33.150002	24.088504
33.16	23.639042
33.169998	23.223428
33.18	22.840216
33.189999	22.48817
33.200001	22.165919
33.209999	21.872302
33.220001	21.606145
33.23	21.366309
33.240002	21.151805
33.25	20.961623
33.259998	20.794796
33.27	20.650435
33.279999	20.527706
33.290001	20.425768
33.299999	20.343809
33.310001	20.281087
33.32	20.236844
33.330002	20.21035
33.34	20.20086
33.349998	20.207642
33.360001	20.229977
33.369999	20.267088
33.380001	20.318233
33.389999	20.382613
33.400002	20.459387
33.41	20.54771
33.419998	20.646646
33.43	20.755225
33.439999	20.872454
33.450001	20.997223
33.459999	21.128395
33.470001	21.264769
33.48	21.405032
33.490002	21.547835
33.5	21.691746
33.509998	21.83527
33.52	21.976867
33.529999	22.114923
33.540001	22.247801
33.549999	22.373815
33.560001	22.491294
33.57	22.59852
33.580002	22.693863
33.59	22.775738
33.599998	22.84257
33.610001	22.892904
33.619999	22.925453
33.630001	22.938966
33.639999	22.932479
33.650002	22.905111
33.66	22.856221
33.669998	22.785373
33.68	22.69239
33.689999	22.577258
33.700001	22.440205
33.709999	22.281697
33.720001	22.102426
33.73	21.903225
33.740002	21.685179
33.75	21.449433
33.759998	21.197358
33.77	20.930365
33.779999	20.649973
33.790001	20.357761
33.799999	20.055333
33.810001	19.744278
33.82	19.426209
33.830002	19.102677
33.84	18.775163
33.849998	18.445111
33.860001	18.113899
33.869999	17.782785
33.880001	17.45294
33.889999	17.125439
33.900002	16.801277
33.91	16.481311
33.919998	16.166335
33.93	15.857033
33.939999	15.553992
33.950001	15.257727
33.959999	14.968646
33.970001	14.687101
33.98	14.413373
33.990002	14.147668
34	13.89012
34.009998	13.640846
34.02	13.399888
34.029999	13.167243
34.040001	12.942873
34.049999	12.72671
34.060001	12.518649
34.07	12.318559
34.080002	12.126287
34.09	11.941649
34.099998	11.764463
34.110001	11.594512
34.119999	11.431581
34.130001	11.275421
34.139999	11.125793
34.150002	10.98243
34.16	10.845083
34.169998	10.713465
34.18	10.587317
34.189999	10.466332
34.200001	10.350239
34.209999	10.238744
34.220001	10.13154
34.23	10.028344
34.240002	9.9288443
34.25	9.8327374
34.259998	9.7397195
34.27	9.6494827
34.279999	9.5617253
34.290001	9.4761356
34.299999	9.3924104
34.310001	9.3102483
34.32	9.2293454
34.330002	9.1494043
34.34	9.0701425
34.349998	8.9912596
34.360001	8.9124842
34.369999	8.8335453
34.380001	8.7541887
34.389999	8.674158
34.400002	8.5932177
34.41	8.5111514
34.419998	8.4277528
34.43	8.3428251
34.439999	8.2562056
34.450001	8.1677385
34.459999	8.0772996
34.470001	7.9847719
34.48	7.8900761
34.490002	7.7931468
34.5	7.693939
34.509998	7.5924363
34.52	7.488651
34.529999	7.3826034
34.540001	7.2743491
34.549999	7.1639579
34.560001	7.0515231
34.57	6.9371512
34.580002	6.8209704
34.59	6.703126
34.599998	6.5837724
34.610001	6.4630779
34.619999	6.3412247
