        Frequency / GHz                Z1,1/abs,linear
----------------------------------------------------------------------
                      33                       4.7233255
               33.009998                       4.8146022
                   33.02                       4.9043398
               33.029999                       4.9924718
               33.040001                       5.0789491
               33.049999                       5.1637344
               33.060001                       5.2467798
                   33.07                       5.3280639
               33.080002                       5.4075615
                   33.09                       5.4852677
               33.099998                       5.5611663
               33.110001                        5.635282
               33.119999                         5.70761
               33.130001                       5.7781797
               33.139999                       5.8470312
               33.150002                       5.9141931
                   33.16                       5.9797278
               33.169998                       6.0436923
                   33.18                       6.1061603
               33.189999                       6.1671971
               33.200001                         6.22691
               33.209999                       6.2853785
               33.220001                       6.3427218
                   33.23                       6.3990441
               33.240002                       6.4544672
                   33.25                       6.5091239
               33.259998                       6.5631436
                   33.27                       6.6166641
               33.279999                        6.669842
               33.290001                       6.7228188
               33.299999                       6.7757435
               33.310001                        6.828782
                   33.32                       6.8820876
               33.330002                       6.9358146
                   33.34                       6.9901266
               33.349998                       7.0451782
               33.360001                       7.1011276
               33.369999                       7.1581238
               33.380001                       7.2163116
               33.389999                       7.2758426
               33.400002                       7.3368404
                   33.41                       7.3994542
               33.419998                       7.4637878
                   33.43                       7.5299616
               33.439999                       7.5980875
               33.450001                       7.6682615
               33.459999                       7.7405608
               33.470001                       7.8150639
                   33.48                       7.8918462
               33.490002                        7.970954
                    33.5                       8.0524394
               33.509998                       8.1363347
                   33.52                       8.2226586
               33.529999                       8.3114233
               33.540001                       8.4026389
               33.549999                       8.4962986
               33.560001                       8.5923787
                   33.57                       8.6908676
               33.580002                       8.7917219
                   33.59                       8.8948957
               33.599998                       9.0003472
               33.610001                       9.1080194
               33.619999                       9.2178438
               33.630001                       9.3297573
               33.639999                       9.4436796
               33.650002                       9.5595413
                   33.66                       9.6772483
               33.669998                       9.7967136
                   33.68                       9.9178541
               33.689999                       10.040567
               33.700001                       10.164753
               33.709999                       10.290325
               33.720001                       10.417178
                   33.73                       10.545208
               33.740002                       10.674318
                   33.75                         10.8044
               33.759998                       10.935359
                   33.77                       11.067084
               33.779999                       11.199482
               33.790001                       11.332441
               33.799999                       11.465876
